etiket,n,bulutlu_%,accuracy,precision,recall,f1,roc_auc,yanlis_eleme_%,kategori
TUMU,960,56.1,0.9406,0.9879,0.9054,0.9448,0.9813,1.43,bulut turu
thin,528,61.2,0.9129,0.9929,0.8638,0.9238,0.96,0.98,bulut turu
thick,608,77.3,0.9523,0.9911,0.9468,0.9684,0.9877,2.9,bulut turu
low,544,65.8,0.9449,0.9881,0.9274,0.9568,0.987,2.15,bulut turu
high,544,82.7,0.9246,0.9928,0.9156,0.9526,0.9632,3.19,bulut turu
isolated,512,53.1,0.9062,0.9786,0.8419,0.9051,0.9579,2.08,bulut turu
extended,496,93.8,0.9335,0.9977,0.9312,0.9633,0.9693,3.23,bulut turu
cumulus,592,67.4,0.9426,0.9867,0.9273,0.9561,0.9855,2.59,bulut turu
cumulonimbus,224,97.3,0.9866,1.0,0.9862,0.9931,0.9985,0.0,bulut turu
altocumulus/stratocumulus,320,85.0,0.9469,0.9961,0.9412,0.9679,0.985,2.08,bulut turu
cirrus,416,82.0,0.9279,0.9968,0.915,0.9541,0.965,1.33,bulut turu
haze/fog,48,100.0,0.8542,1.0,0.8542,0.9213,,,bulut turu
ice_clouds,240,97.9,0.9875,1.0,0.9872,0.9936,0.9949,0.0,bulut turu
TUMU,960,56.1,0.9406,0.9879,0.9054,0.9448,0.9813,1.43,yuzey tipi
forest/jungle,160,53.1,0.8875,0.9589,0.8235,0.8861,0.9517,4.0,yuzey tipi
snow/ice,128,32.0,0.9141,0.9412,0.7805,0.8533,0.9352,2.3,yuzey tipi
agricultural,272,46.7,0.8713,0.9694,0.748,0.8444,0.9389,2.07,yuzey tipi
urban/developed,208,35.1,0.8894,0.9464,0.726,0.8217,0.9382,2.22,yuzey tipi
hills/mountains,160,42.5,0.9062,0.9649,0.8088,0.88,0.9715,2.17,yuzey tipi
desert/barren,128,18.0,0.9453,0.9,0.7826,0.8372,0.9594,1.9,yuzey tipi
shrublands/plains,160,38.1,0.9125,1.0,0.7705,0.8704,0.9752,0.0,yuzey tipi
wetland/bog/marsh,48,41.7,0.9583,1.0,0.9,0.9474,1.0,0.0,yuzey tipi
open_water,240,74.6,0.9625,1.0,0.9497,0.9742,0.9973,0.0,yuzey tipi
enclosed_water,144,51.4,0.8472,0.9815,0.7162,0.8281,0.9293,1.43,yuzey tipi
1,272,64.7,0.9779,1.0,0.9659,0.9827,0.9982,0.0,zorluk
2,96,33.3,0.9896,0.9697,1.0,0.9846,1.0,1.56,zorluk
3,336,55.7,0.9315,0.9824,0.893,0.9356,0.9816,2.01,zorluk
4,208,54.3,0.9375,0.9902,0.8938,0.9395,0.9819,1.05,zorluk
5,48,64.6,0.7083,0.9474,0.5806,0.72,0.778,5.88,zorluk
