etiket,n,bulutlu_%,accuracy,precision,recall,f1,roc_auc,yanlis_eleme_%,kategori
TUMU,960,56.1,0.9563,0.9751,0.9462,0.9605,0.9884,3.09,bulut turu
thin,528,61.2,0.9318,0.9705,0.9164,0.9427,0.9776,4.39,bulut turu
thick,608,77.3,0.9688,0.9808,0.9787,0.9798,0.9939,6.52,bulut turu
low,544,65.8,0.9632,0.9747,0.9693,0.972,0.9935,4.84,bulut turu
high,544,82.7,0.9375,0.9771,0.9467,0.9616,0.9766,10.64,bulut turu
isolated,512,53.1,0.9297,0.9538,0.9118,0.9323,0.9743,5.0,bulut turu
extended,496,93.8,0.9496,0.9889,0.957,0.9727,0.977,16.13,bulut turu
cumulus,592,67.4,0.9611,0.97,0.9724,0.9712,0.9928,6.22,bulut turu
cumulonimbus,224,97.3,0.9866,0.9954,0.9908,0.9931,0.9969,16.67,bulut turu
altocumulus/stratocumulus,320,85.0,0.9656,0.9851,0.9743,0.9797,0.9929,8.33,bulut turu
cirrus,416,82.0,0.9375,0.9787,0.9443,0.9612,0.9754,9.33,bulut turu
haze/fog,48,100.0,0.8958,1.0,0.8958,0.9451,,,bulut turu
ice_clouds,240,97.9,0.9917,0.9916,1.0,0.9958,1.0,40.0,bulut turu
TUMU,960,56.1,0.9563,0.9751,0.9462,0.9605,0.9884,3.09,yuzey tipi
forest/jungle,160,53.1,0.9062,0.9375,0.8824,0.9091,0.9671,6.67,yuzey tipi
snow/ice,128,32.0,0.8984,0.8333,0.8537,0.8434,0.9425,8.05,yuzey tipi
agricultural,272,46.7,0.9081,0.9554,0.8425,0.8954,0.9681,3.45,yuzey tipi
urban/developed,208,35.1,0.9135,0.9661,0.7808,0.8636,0.9709,1.48,yuzey tipi
hills/mountains,160,42.5,0.9437,0.9403,0.9265,0.9333,0.9882,4.35,yuzey tipi
desert/barren,128,18.0,0.9531,0.9048,0.8261,0.8636,0.9536,1.9,yuzey tipi
shrublands/plains,160,38.1,0.9437,0.9815,0.8689,0.9217,0.9929,1.01,yuzey tipi
wetland/bog/marsh,48,41.7,1.0,1.0,1.0,1.0,1.0,0.0,yuzey tipi
open_water,240,74.6,0.9833,1.0,0.9777,0.9887,0.9991,0.0,yuzey tipi
enclosed_water,144,51.4,0.9028,0.9839,0.8243,0.8971,0.9515,1.43,yuzey tipi
1,272,64.7,0.9816,1.0,0.9716,0.9856,0.9985,0.0,zorluk
2,96,33.3,1.0,1.0,1.0,1.0,1.0,0.0,zorluk
3,336,55.7,0.9613,0.9728,0.9572,0.965,0.9923,3.36,zorluk
4,208,54.3,0.9471,0.9554,0.9469,0.9511,0.9871,5.26,zorluk
5,48,64.6,0.7292,0.875,0.6774,0.7636,0.7837,17.65,zorluk
