kuantize_conv,boyut_MB,accuracy,precision,recall,f1,roc_auc,sapma
0,6.04,0.98,0.9705882352941176,0.99,0.9801980198019802,0.9949,0.0
1,5.8,0.595,0.7567567567567568,0.28,0.40875912408759124,0.7972000000000001,0.42372
2,5.8,0.63,0.6857142857142857,0.48,0.5647058823529412,0.6796,0.39564
4,5.8,0.615,0.6619718309859155,0.47,0.5497076023391813,0.6734,0.39553
8,5.8,0.68,0.7045454545454546,0.62,0.6595744680851063,0.7443000000000001,0.33975
16,5.76,0.66,0.6777777777777778,0.61,0.6421052631578947,0.7095999999999999,0.36845
24,5.54,0.545,0.56,0.42,0.48,0.6257,0.45601
32,5.41,0.55,0.5735294117647058,0.39,0.4642857142857143,0.6487,0.44392
40,5.2,0.59,0.6285714285714286,0.44,0.5176470588235295,0.6654,0.41672
48,4.14,0.555,0.5797101449275363,0.4,0.47337278106508873,0.6434,0.43535
53,1.7,0.555,0.5753424657534246,0.42,0.48554913294797686,0.6439,0.43396
